                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.64074,                0.27986,                0.91421,                0.99821,                0.99862,                0.99406,                0.87421,                0.62891,                0.22549,                0.92068,               0.005281,               0.005281,               0.005281
                    145,                0.64187,                0.27962,                0.91641,                0.99821,                0.99863,                0.99409,                0.87413,                0.62856,                0.22542,                0.92068,               0.005248,               0.005248,               0.005248
                    146,                0.64409,                0.27966,                0.91474,                0.99821,                0.99863,                0.99408,                0.87402,                0.62812,                0.22544,                0.92035,               0.005215,               0.005215,               0.005215
                    147,                0.63969,                0.27965,                0.91375,                0.99821,                0.99861,                0.99407,                 0.8743,                 0.6276,                0.22516,                0.91999,               0.005182,               0.005182,               0.005182
                    148,                0.64145,                0.28005,                 0.9188,                0.99781,                0.99901,                0.99409,                0.87453,                0.62715,                0.22499,                0.91998,               0.005149,               0.005149,               0.005149
                    149,                 0.6383,                0.28049,                0.92322,                 0.9982,                0.99861,                 0.9941,                0.87471,                0.62646,                0.22483,                0.92028,               0.005116,               0.005116,               0.005116
                    150,                0.64082,                0.27974,                0.92476,                0.99812,                0.99868,                0.99408,                0.87472,                0.62612,                0.22473,                0.92072,               0.005083,               0.005083,               0.005083
                    151,                0.63886,                0.27881,                0.91953,                0.99819,                0.99861,                0.99411,                 0.8751,                0.62571,                0.22456,                0.92085,                0.00505,                0.00505,                0.00505
                    152,                0.63829,                0.27873,                0.91027,                0.99808,                0.99871,                0.99409,                0.87495,                0.62523,                0.22436,                0.92053,               0.005017,               0.005017,               0.005017
                    153,                0.63728,                0.27697,                0.91968,                0.99801,                0.99865,                0.99408,                0.87499,                0.62501,                0.22441,                0.92093,               0.004984,               0.004984,               0.004984
                    154,                0.63944,                0.27914,                0.91829,                0.99808,                0.99874,                0.99412,                0.87523,                0.62474,                 0.2244,                0.92129,               0.004951,               0.004951,               0.004951
                    155,                0.63671,                0.27818,                0.91567,                0.99808,                0.99877,                0.99413,                0.87528,                0.62442,                0.22429,                0.92136,               0.004918,               0.004918,               0.004918
                    156,                0.63278,                0.27753,                0.91598,                0.99801,                0.99871,                0.99406,                0.87534,                0.62429,                0.22435,                0.92143,               0.004885,               0.004885,               0.004885
